### Processor allocation levels: 0 250 500 750 1000 1250 1500 1750 2000 2250 
### Memory allocation levels: 0 1024 2048 3072 
### Stage 0 results
blnd hs hvs in jug1 jug2 nr se vs mem1 mem2 mem3 area wl mttf
250 250 250 250 250 250 250 250 250 1024 1024 1024 54.37 89.7755 9.28105
###   250 MIPS
500 250 250 250 250 250 250 250 250 1024 1024 1024 55.7025 71.6575 10.5249
250 500 250 250 250 250 250 250 250 1024 1024 1024 55.7025 47.7255 10.5207
250 250 500 250 250 250 250 250 250 1024 1024 1024 55.7025 49.9575 10.3707
250 250 250 500 250 250 250 250 250 1024 1024 1024 55.7025 52.0175 9.75662
250 250 250 250 500 250 250 250 250 1024 1024 1024 55.7025 52.3355 10.3679
250 250 250 250 250 500 250 250 250 1024 1024 1024 55.7025 62.4255 10.3716
250 250 250 250 250 250 500 250 250 1024 1024 1024 55.7025 43.8855 10.3615
250 250 250 250 250 250 250 500 250 1024 1024 1024 55.7025 53.7255 10.5206
250 250 250 250 250 250 250 250 500 1024 1024 1024 55.7025 54.1855 10.3694
*** 500 250 250 250 250 250 250 250 250 1024 1024 1024 55.7025 71.6575 10.5249
###   500 MIPS
500 500 250 250 250 250 250 250 250 1024 1024 1024 56.6497 56.2535 11.0643
500 250 500 250 250 250 250 250 250 1024 1024 1024 56.6497 56.3255 11.0333
500 250 250 500 250 250 250 250 250 1024 1024 1024 57.0024 63.0555 10.7785
500 250 250 250 500 250 250 250 250 1024 1024 1024 56.6497 51.3115 11.0571
500 250 250 250 250 500 250 250 250 1024 1024 1024 56.6497 62.3895 11.0527
500 250 250 250 250 250 500 250 250 1024 1024 1024 56.6497 77.2135 11.0344
500 250 250 250 250 250 250 500 250 1024 1024 1024 56.6497 57.6715 11.0632
500 250 250 250 250 250 250 250 500 1024 1024 1024 56.6497 53.0075 11.0504
*** 500 500 250 250 250 250 250 250 250 1024 1024 1024 56.6497 56.2535 11.0643
###   18 designs explored so far
### Stage 1 results
###   750 MIPS
500 500 500 250 250 250 250 250 250 1024 1024 1024 59.1488 49.9425 11.3756
500 500 250 500 250 250 250 250 250 1024 1024 1024 59.1488 74.6055 11.2319
500 250 500 500 250 250 250 250 250 1024 1024 1024 59.1488 57.3475 11.4208
250 500 500 500 250 250 250 250 250 1024 1024 1024 59.1488 54.0935 11.2331
500 500 250 250 500 250 250 250 250 1024 1024 1024 59.1488 63.7565 11.388
500 250 500 250 500 250 250 250 250 1024 1024 1024 59.1488 49.4375 11.3664
250 500 500 250 500 250 250 250 250 1024 1024 1024 59.1488 53.4935 11.358
500 250 250 500 500 250 250 250 250 1024 1024 1024 59.1488 55.2705 11.1836
250 500 250 500 500 250 250 250 250 1024 1024 1024 59.1488 52.5095 11.1583
250 250 500 500 500 250 250 250 250 1024 1024 1024 59.1488 63.2465 10.9289
500 500 250 250 250 500 250 250 250 1024 1024 1024 59.1488 44.4005 11.3716
500 250 500 250 250 500 250 250 250 1024 1024 1024 59.1488 55.6485 11.5498
250 500 500 250 250 500 250 250 250 1024 1024 1024 59.1488 59.8885 11.3801
500 250 250 500 250 500 250 250 250 1024 1024 1024 59.1488 59.0425 11.4526
250 500 250 500 250 500 250 250 250 1024 1024 1024 59.1488 55.1705 11.2411
250 250 500 500 250 500 250 250 250 1024 1024 1024 59.1488 45.3945 11.1557
500 250 250 250 500 500 250 250 250 1024 1024 1024 59.1488 51.9435 11.36
250 500 250 250 500 500 250 250 250 1024 1024 1024 59.1488 47.6315 11.3725
250 250 500 250 500 500 250 250 250 1024 1024 1024 59.1488 66.5725 11.0423
250 250 250 500 500 500 250 250 250 1024 1024 1024 59.1488 62.2705 10.9665
500 500 250 250 250 250 500 250 250 1024 1024 1024 59.1488 72.9575 11.3712
500 250 500 250 250 250 500 250 250 1024 1024 1024 59.1488 54.0845 11.4855
250 500 500 250 250 250 500 250 250 1024 1024 1024 59.1488 50.2615 11.3363
500 250 250 500 250 250 500 250 250 1024 1024 1024 59.1488 56.7485 11.4531
250 500 250 500 250 250 500 250 250 1024 1024 1024 59.1488 50.8095 11.2595
250 250 500 500 250 250 500 250 250 1024 1024 1024 59.1488 62.3845 11.2049
500 250 250 250 500 250 500 250 250 1024 1024 1024 59.1488 51.5775 11.3179
250 500 250 250 500 250 500 250 250 1024 1024 1024 59.1488 67.8385 11.3728
250 250 500 250 500 250 500 250 250 1024 1024 1024 59.1488 57.6365 11.0384
250 250 250 500 500 250 500 250 250 1024 1024 1024 59.1488 50.9595 10.9045
500 250 250 250 250 500 500 250 250 1024 1024 1024 59.1488 52.1215 11.5215
250 500 250 250 250 500 500 250 250 1024 1024 1024 59.1488 43.7515 11.3369
250 250 500 250 250 500 500 250 250 1024 1024 1024 59.1488 83.5315 11.2725
250 250 250 500 250 500 500 250 250 1024 1024 1024 59.1488 52.3735 11.22
250 250 250 250 500 500 500 250 250 1024 1024 1024 59.1488 58.1385 11.0342
500 500 250 250 250 250 250 500 250 1024 1024 1024 59.1488 62.2815 11.3836
500 250 500 250 250 250 250 500 250 1024 1024 1024 59.1488 50.0785 11.5859
250 500 500 250 250 250 250 500 250 1024 1024 1024 59.1488 46.9965 11.3658
500 250 250 500 250 250 250 500 250 1024 1024 1024 59.1488 61.7485 11.5258
250 500 250 500 250 250 250 500 250 1024 1024 1024 59.1488 70.2875 11.2535
250 250 500 500 250 250 250 500 250 1024 1024 1024 59.1488 53.7875 11.4811
500 250 250 250 500 250 250 500 250 1024 1024 1024 59.1488 83.4055 11.3645
250 500 250 250 500 250 250 500 250 1024 1024 1024 59.1488 46.1025 11.388
250 250 500 250 500 250 250 500 250 1024 1024 1024 59.1488 60.2725 11.3691
250 250 250 500 500 250 250 500 250 1024 1024 1024 59.1488 45.6915 11.1079
500 250 250 250 250 500 250 500 250 1024 1024 1024 59.1488 49.6065 11.5944
250 500 250 250 250 500 250 500 250 1024 1024 1024 59.1488 52.9595 11.3719
250 250 500 250 250 500 250 500 250 1024 1024 1024 59.1488 64.6695 11.5483
250 250 250 500 250 500 250 500 250 1024 1024 1024 59.1488 55.4765 11.4496
250 250 250 250 500 500 250 500 250 1024 1024 1024 59.1488 50.6465 11.3331
500 250 250 250 250 250 500 500 250 1024 1024 1024 59.1488 61.6795 11.5966
250 500 250 250 250 250 500 500 250 1024 1024 1024 59.1488 55.1415 11.3859
250 250 500 250 250 250 500 500 250 1024 1024 1024 59.1488 63.6265 11.498
250 250 250 500 250 250 500 500 250 1024 1024 1024 59.1488 59.7005 11.4818
250 250 250 250 500 250 500 500 250 1024 1024 1024 59.1488 61.8685 11.2744
250 250 250 250 250 500 500 500 250 1024 1024 1024 59.1488 48.2795 11.5049
500 500 250 250 250 250 250 250 500 1024 1024 1024 59.1488 58.5055 11.36
500 250 500 250 250 250 250 250 500 1024 1024 1024 59.1488 62.7015 11.3163
250 500 500 250 250 250 250 250 500 1024 1024 1024 59.1488 53.8175 11.3559
500 250 250 500 250 250 250 250 500 1024 1024 1024 59.1488 68.4485 11.1834
250 500 250 500 250 250 250 250 500 1024 1024 1024 59.1488 54.5165 11.1846
250 250 500 500 250 250 250 250 500 1024 1024 1024 59.1488 66.2835 10.9387
500 250 250 250 500 250 250 250 500 1024 1024 1024 59.1488 52.5235 11.361
250 500 250 250 500 250 250 250 500 1024 1024 1024 59.1488 59.1175 11.3407
